epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4174,1.02949,2.04035,1.48624,0.13352,0.53981,0.08262,0.041,1.50751,33.2379,2.40817,0.000470858,0.000470858,0.000470858
2,111.919,1.2103,1.53322,1.60533,0.18079,0.26967,0.13803,0.04719,2.63524,5.23482,3.45772,0.000928437,0.000928437,0.000928437
3,171.632,1.2148,1.58227,1.60333,0.32845,0.54047,0.35846,0.15088,1.77218,3.31405,2.81073,0.00136715,0.00136715,0.00136715
4,250.05,1.21934,1.44665,1.60652,0.64619,0.53653,0.5688,0.27693,1.92,2.12245,2.97067,0.00134412,0.00134412,0.00134412
5,342.058,1.16294,1.31421,1.55684,0.75002,0.70084,0.74625,0.48484,1.16475,1.78616,1.87647,0.00131582,0.00131582,0.00131582
6,430.372,1.14354,1.24136,1.53979,0.72554,0.78493,0.79002,0.55315,1.11774,1.18128,1.78952,0.00128753,0.00128753,0.00128753
7,518.759,1.04364,1.15202,1.47032,0.77612,0.77352,0.82793,0.59592,1.00427,1.03553,1.6533,0.00125923,0.00125923,0.00125923
8,611.168,1.02863,1.09357,1.43909,0.81064,0.77632,0.82773,0.59485,1.08372,0.97552,1.82898,0.00123094,0.00123094,0.00123094
9,684.278,1.00301,1.07185,1.42255,0.75932,0.76036,0.83699,0.5894,1.03441,1.0022,1.66177,0.00120265,0.00120265,0.00120265
10,754.091,0.99355,1.01693,1.4234,0.83619,0.79263,0.85277,0.62965,0.9785,0.95509,1.60054,0.00117435,0.00117435,0.00117435
11,836.301,0.959,0.97698,1.39771,0.82467,0.84914,0.87052,0.63343,1.01654,0.82519,1.67546,0.00114606,0.00114606,0.00114606
12,926.709,0.93006,0.92052,1.36794,0.86668,0.77013,0.85948,0.66074,0.88454,0.85919,1.5093,0.00111776,0.00111776,0.00111776
13,1025.28,0.88216,0.87814,1.34573,0.84279,0.84733,0.88546,0.66679,0.92964,0.77112,1.54429,0.00108947,0.00108947,0.00108947
