epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4435,0.94789,2.19483,1.40303,0.63859,0.61326,0.64744,0.42497,1.06723,2.6136,1.73558,0.00047358,0.00047358,0.00047358
2,62.9238,0.99652,1.6884,1.42633,0.54594,0.7431,0.7435,0.52055,1.02094,2.43294,1.69447,0.000931105,0.000931105,0.000931105
3,92.9795,1.04279,1.557,1.46324,0.76924,0.72201,0.78487,0.50286,1.15476,1.6961,1.79394,0.00136977,0.00136977,0.00136977
4,122.272,1.06481,1.40896,1.47132,0.83036,0.70409,0.78157,0.53509,1.1244,1.39647,1.79744,0.00134412,0.00134412,0.00134412
5,152.015,1.02905,1.29957,1.43746,0.82604,0.79053,0.83838,0.58877,0.98085,1.17558,1.59136,0.00131582,0.00131582,0.00131582
6,183.216,1.01571,1.20702,1.44634,0.82958,0.79761,0.84507,0.61227,1.02228,1.11417,1.63488,0.00128753,0.00128753,0.00128753
7,213.633,0.97661,1.12435,1.40841,0.76536,0.68067,0.80133,0.52371,1.1438,1.27414,1.78489,0.00125923,0.00125923,0.00125923
8,244.215,0.93065,1.07712,1.37612,0.87097,0.77298,0.85743,0.62757,0.9747,0.93763,1.57903,0.00123094,0.00123094,0.00123094
9,274.886,0.93671,1.0373,1.35652,0.8415,0.78735,0.85706,0.6492,0.92597,0.89182,1.53014,0.00120265,0.00120265,0.00120265
10,306.07,0.93013,1.02593,1.36194,0.87254,0.83378,0.88616,0.66382,0.89992,0.8212,1.49575,0.00117435,0.00117435,0.00117435
11,335.761,0.90257,0.95753,1.33491,0.88413,0.84579,0.90589,0.68169,0.89952,0.80682,1.49725,0.00114606,0.00114606,0.00114606
12,365.839,0.88822,0.93129,1.33613,0.85685,0.83117,0.89319,0.6637,0.91554,0.81021,1.50772,0.00111776,0.00111776,0.00111776
13,395.826,0.88964,0.92486,1.31736,0.80846,0.84596,0.87733,0.66315,0.84636,0.8391,1.42966,0.00108947,0.00108947,0.00108947
14,426.028,0.88272,0.97959,1.31986,0.82223,0.81299,0.85688,0.63116,0.88447,0.84337,1.47641,0.00106118,0.00106118,0.00106118
15,455.532,0.86575,0.87826,1.3098,0.87529,0.81798,0.86833,0.66228,0.89372,0.77512,1.48727,0.00103288,0.00103288,0.00103288
16,484.693,0.8589,0.8839,1.29967,0.89014,0.8449,0.90439,0.67903,0.87937,0.73775,1.45495,0.00100459,0.00100459,0.00100459
17,514.004,0.8449,0.86687,1.29561,0.83926,0.86898,0.89757,0.69155,0.8438,0.74015,1.42878,0.000976293,0.000976293,0.000976293
18,544.459,0.85472,0.83781,1.30217,0.83889,0.84011,0.87543,0.68218,0.82658,0.77444,1.41224,0.000947999,0.000947999,0.000947999
19,573.18,0.82449,0.80718,1.27893,0.78358,0.86591,0.89578,0.70303,0.8128,0.73753,1.40064,0.000919704,0.000919704,0.000919704
20,602.467,0.80995,0.80277,1.27357,0.82736,0.88121,0.89256,0.688,0.82634,0.69032,1.40621,0.00089141,0.00089141,0.00089141
21,631.528,0.81209,0.77266,1.27502,0.84072,0.88383,0.91262,0.71238,0.80979,0.65786,1.38364,0.000863116,0.000863116,0.000863116
22,660.47,0.79475,0.76586,1.26334,0.9051,0.85349,0.92913,0.73203,0.79226,0.63623,1.36636,0.000834822,0.000834822,0.000834822
23,690.613,0.79304,0.77227,1.25113,0.89603,0.87474,0.91925,0.72587,0.79015,0.62919,1.37059,0.000806528,0.000806528,0.000806528
