epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5946,0.97031,1.87852,1.41768,0.62743,0.55691,0.61017,0.39115,1.12599,1.90569,1.80362,0.000470858,0.000470858,0.000470858
2,62.8978,1.06619,1.30965,1.48036,0.61897,0.5073,0.53485,0.26567,1.56171,2.66458,2.53653,0.000928437,0.000928437,0.000928437
3,92.984,1.07897,1.36396,1.48145,0.60248,0.56927,0.58966,0.32686,1.46243,1.65367,2.11381,0.00136715,0.00136715,0.00136715
4,123.17,1.08724,1.2515,1.49431,0.52265,0.65188,0.5903,0.26804,1.70178,1.85677,2.39207,0.00134412,0.00134412,0.00134412
5,153.226,1.07451,1.15177,1.4693,0.84963,0.71207,0.81123,0.54069,1.11454,1.07329,1.78984,0.00131582,0.00131582,0.00131582
6,184.561,1.03889,1.11914,1.45334,0.77073,0.75251,0.78406,0.53728,1.1227,1.06598,1.77417,0.00128753,0.00128753,0.00128753
7,214.396,1.00322,1.04436,1.42658,0.82,0.76385,0.82644,0.59155,0.99368,1.13802,1.6808,0.00125923,0.00125923,0.00125923
8,245.627,0.98506,1.01606,1.39457,0.86033,0.78462,0.87338,0.63342,0.99066,0.86516,1.63126,0.00123094,0.00123094,0.00123094
9,276.591,0.96178,0.97886,1.37836,0.83531,0.79029,0.84683,0.59448,1.0349,0.90155,1.68419,0.00120265,0.00120265,0.00120265
10,306.52,0.94006,0.95054,1.35949,0.80207,0.8422,0.85594,0.62884,0.95728,0.83591,1.56915,0.00117435,0.00117435,0.00117435
11,336.591,0.89783,0.88896,1.33469,0.88015,0.80673,0.88697,0.65621,0.93717,0.81563,1.54805,0.00114606,0.00114606,0.00114606
12,368.012,0.91322,0.86992,1.35552,0.91018,0.79722,0.87725,0.67286,0.8699,0.7468,1.45638,0.00111776,0.00111776,0.00111776
13,399.388,0.86061,0.82684,1.32176,0.84181,0.85181,0.88792,0.657,0.93075,0.75515,1.51579,0.00108947,0.00108947,0.00108947
14,429.342,0.88234,0.85689,1.32473,0.86447,0.83493,0.87899,0.66379,0.90234,0.74466,1.50293,0.00106118,0.00106118,0.00106118
15,459.556,0.84389,0.83115,1.29551,0.78003,0.85499,0.88088,0.65597,0.89623,0.75686,1.4809,0.00103288,0.00103288,0.00103288
16,489.297,0.84806,0.8794,1.29457,0.84261,0.86416,0.87762,0.66358,0.90388,0.69374,1.51303,0.00100459,0.00100459,0.00100459
17,519.495,0.8381,0.79047,1.28505,0.82713,0.89828,0.90656,0.69278,0.91312,0.72879,1.50247,0.000976293,0.000976293,0.000976293
18,550.958,0.82953,0.77294,1.28849,0.84229,0.86139,0.8701,0.66841,0.84556,0.70418,1.43762,0.000947999,0.000947999,0.000947999
19,580.779,0.79978,0.73768,1.25348,0.87493,0.88273,0.91529,0.70533,0.84747,0.61924,1.42944,0.000919704,0.000919704,0.000919704
20,611.955,0.77969,0.73054,1.24997,0.89329,0.87055,0.90937,0.71459,0.81562,0.60471,1.40553,0.00089141,0.00089141,0.00089141
21,643.417,0.79288,0.72543,1.24714,0.87826,0.88233,0.91997,0.70385,0.81386,0.60483,1.39356,0.000863116,0.000863116,0.000863116
22,673.689,0.79955,0.7875,1.25553,0.88951,0.8491,0.89801,0.68557,0.87211,0.65911,1.44859,0.000834822,0.000834822,0.000834822
23,703.691,0.82488,0.76807,1.27298,0.86983,0.89445,0.90274,0.70186,0.81614,0.63297,1.38307,0.000806528,0.000806528,0.000806528
24,734.105,0.76551,0.68591,1.22852,0.88095,0.88019,0.91522,0.72537,0.79192,0.62292,1.39027,0.000778233,0.000778233,0.000778233
25,767.444,0.75322,0.66887,1.21536,0.91151,0.86571,0.90474,0.71405,0.8154,0.62483,1.39796,0.000749939,0.000749939,0.000749939
26,798.094,0.77205,0.65578,1.22511,0.88295,0.89621,0.91657,0.73634,0.79758,0.59718,1.40752,0.000721645,0.000721645,0.000721645
27,829.634,0.74865,0.64713,1.22738,0.88237,0.90154,0.92969,0.74592,0.79379,0.57583,1.38666,0.000693351,0.000693351,0.000693351
28,860.83,0.75242,0.63943,1.22222,0.89677,0.8558,0.91268,0.71897,0.80654,0.58462,1.37831,0.000665057,0.000665057,0.000665057
29,890.554,0.72708,0.63223,1.20998,0.87044,0.90001,0.91454,0.72158,0.7998,0.56383,1.38659,0.000636762,0.000636762,0.000636762
30,920.677,0.7608,0.67392,1.24657,0.88943,0.89063,0.91609,0.72666,0.79222,0.56825,1.37329,0.000608468,0.000608468,0.000608468
31,950.452,0.72984,0.61561,1.19137,0.89383,0.89844,0.91875,0.72923,0.79469,0.56863,1.35953,0.000580174,0.000580174,0.000580174
32,980.753,0.69564,0.58245,1.18676,0.91153,0.87221,0.92185,0.72899,0.77912,0.55984,1.3458,0.00055188,0.00055188,0.00055188
33,1011.11,0.71784,0.59722,1.19633,0.86663,0.90037,0.91486,0.73278,0.75849,0.55782,1.33751,0.000523586,0.000523586,0.000523586
34,1041.55,0.68075,0.57701,1.17418,0.90208,0.92089,0.92369,0.73962,0.77179,0.54662,1.34712,0.000495291,0.000495291,0.000495291
35,1072.1,0.67584,0.57132,1.17292,0.89718,0.88043,0.92617,0.74387,0.77129,0.54005,1.34111,0.000466997,0.000466997,0.000466997
36,1102.7,0.67763,0.56246,1.16722,0.88288,0.87525,0.92896,0.73311,0.76971,0.56032,1.33554,0.000438703,0.000438703,0.000438703
37,1132.99,0.67937,0.54006,1.16804,0.88966,0.86792,0.92228,0.73133,0.76625,0.54486,1.33601,0.000410409,0.000410409,0.000410409
38,1163.69,0.67735,0.55482,1.16499,0.8898,0.89818,0.91661,0.735,0.76623,0.54118,1.33492,0.000382115,0.000382115,0.000382115
39,1195.01,0.664,0.54068,1.16627,0.89409,0.88792,0.92531,0.73985,0.75994,0.53126,1.3368,0.00035382,0.00035382,0.00035382
40,1226.24,0.66436,0.51707,1.1604,0.90718,0.90081,0.92885,0.74303,0.7522,0.53002,1.32564,0.000325526,0.000325526,0.000325526
41,1258,0.53572,0.40162,1.1416,0.87863,0.91574,0.92946,0.73816,0.76033,0.53371,1.32705,0.000297232,0.000297232,0.000297232
42,1288.11,0.5179,0.41054,1.12315,0.90528,0.90342,0.90736,0.72895,0.75242,0.53341,1.32429,0.000268938,0.000268938,0.000268938
43,1317.81,0.50871,0.36635,1.11189,0.88293,0.92276,0.92675,0.74908,0.74621,0.50663,1.31676,0.000240644,0.000240644,0.000240644
44,1349.23,0.489,0.35115,1.0861,0.9072,0.90246,0.92785,0.74136,0.75162,0.51412,1.33329,0.000212349,0.000212349,0.000212349
