epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4366,0.94308,2.46017,1.39932,0.37718,0.34132,0.35056,0.19831,1.41879,3.60082,2.09738,0.000470858,0.000470858,0.000470858
2,71.7988,0.9949,1.80478,1.42769,0.29639,0.33203,0.26701,0.12913,1.36407,3.41553,1.98771,0.000928437,0.000928437,0.000928437
3,104.835,1.03118,1.65254,1.44337,0.66353,0.52334,0.6048,0.3677,1.38022,2.72595,2.27555,0.00136715,0.00136715,0.00136715
4,144.545,1.02306,1.44067,1.43962,0.45827,0.51979,0.53044,0.31568,1.36542,2.56526,1.97095,0.00134412,0.00134412,0.00134412
5,185.475,1.06006,1.34416,1.49013,0.50891,0.48666,0.43173,0.22342,1.33733,2.00852,1.9021,0.00131582,0.00131582,0.00131582
6,221.863,0.96279,1.17423,1.3936,0.74653,0.71675,0.81549,0.5182,1.1526,1.42328,1.77742,0.00128753,0.00128753,0.00128753
7,257.673,0.95859,1.08534,1.3959,0.84781,0.65621,0.77343,0.55586,1.08494,1.26907,1.75705,0.00125923,0.00125923,0.00125923
8,293.433,0.91822,1.01376,1.34315,0.71752,0.63113,0.72027,0.50661,1.01581,1.32494,1.59423,0.00123094,0.00123094,0.00123094
9,329.327,0.9233,1.01206,1.35074,0.79972,0.81158,0.84611,0.6109,0.97026,1.09032,1.56805,0.00120265,0.00120265,0.00120265
10,362.765,0.9131,0.953,1.35661,0.8626,0.82057,0.88536,0.66869,0.95177,1.0126,1.55964,0.00117435,0.00117435,0.00117435
11,382.862,0.92403,0.91844,1.36345,0.74169,0.71281,0.74692,0.49682,1.11929,1.48027,1.77479,0.00114606,0.00114606,0.00114606
12,403.131,0.87603,0.88671,1.3286,0.86942,0.82367,0.88369,0.68196,0.87747,0.83153,1.46897,0.00111776,0.00111776,0.00111776
13,423.003,0.87947,0.86682,1.32094,0.87562,0.79669,0.88009,0.65546,0.93696,0.94695,1.56076,0.00108947,0.00108947,0.00108947
14,443.11,0.86329,0.84745,1.3235,0.86749,0.88436,0.91461,0.70644,0.88442,0.74777,1.47949,0.00106118,0.00106118,0.00106118
15,463.064,0.83049,0.87473,1.278,0.86746,0.85217,0.88923,0.66161,0.9545,0.81319,1.54254,0.00103288,0.00103288,0.00103288
16,482.921,0.83805,0.78852,1.29958,0.9092,0.81544,0.89535,0.68103,0.89778,0.73014,1.52506,0.00100459,0.00100459,0.00100459
17,502.769,0.85807,0.82665,1.3117,0.87637,0.86197,0.91105,0.70085,0.82021,0.69279,1.40167,0.000976293,0.000976293,0.000976293
18,523.173,0.80944,0.75705,1.27465,0.87144,0.85872,0.9112,0.70019,0.89904,0.72879,1.48778,0.000947999,0.000947999,0.000947999
19,543.406,0.8227,0.76156,1.27184,0.8812,0.86751,0.91062,0.70694,0.82314,0.67065,1.42074,0.000919704,0.000919704,0.000919704
20,563.283,0.81988,0.73834,1.27964,0.8358,0.73353,0.8662,0.65764,0.90861,0.97982,1.48873,0.00089141,0.00089141,0.00089141
21,583.413,0.78991,0.72854,1.24455,0.88008,0.8648,0.90486,0.69756,0.85293,0.68727,1.43815,0.000863116,0.000863116,0.000863116
22,603.1,0.78214,0.71302,1.23374,0.88573,0.892,0.92983,0.7251,0.84257,0.60495,1.43674,0.000834822,0.000834822,0.000834822
23,623.14,0.76215,0.69062,1.23366,0.92106,0.87857,0.92204,0.7151,0.82242,0.62519,1.39008,0.000806528,0.000806528,0.000806528
24,642.817,0.76004,0.69347,1.23325,0.90372,0.88561,0.91514,0.7326,0.78386,0.61661,1.35973,0.000778233,0.000778233,0.000778233
25,663.029,0.78748,0.6997,1.25588,0.88839,0.85717,0.90486,0.7092,0.81698,0.62939,1.41433,0.000749939,0.000749939,0.000749939
26,682.985,0.75828,0.6631,1.23037,0.88365,0.82733,0.91246,0.72023,0.77998,0.6244,1.35542,0.000721645,0.000721645,0.000721645
27,702.999,0.73598,0.64085,1.209,0.8972,0.88212,0.92007,0.7312,0.79195,0.57729,1.37283,0.000693351,0.000693351,0.000693351
28,722.783,0.76575,0.66079,1.24077,0.90237,0.84986,0.91269,0.72013,0.80837,0.60219,1.39343,0.000665057,0.000665057,0.000665057
29,742.853,0.74822,0.66364,1.22478,0.90794,0.84796,0.91482,0.72757,0.79594,0.60177,1.38146,0.000636762,0.000636762,0.000636762
30,762.667,0.73562,0.664,1.2152,0.91685,0.85944,0.93255,0.74209,0.76635,0.57096,1.33996,0.000608468,0.000608468,0.000608468
31,782.757,0.73466,0.63589,1.20719,0.89193,0.87637,0.92803,0.73492,0.7767,0.57698,1.36234,0.000580174,0.000580174,0.000580174
32,802.422,0.72572,0.6166,1.20665,0.91761,0.86887,0.92557,0.73458,0.79943,0.57316,1.38158,0.00055188,0.00055188,0.00055188
33,822.421,0.71908,0.61537,1.20968,0.90641,0.87085,0.92801,0.73667,0.77876,0.57045,1.37538,0.000523586,0.000523586,0.000523586
34,842.364,0.75381,0.61505,1.23077,0.88977,0.88649,0.92491,0.73046,0.79775,0.57805,1.38626,0.000495291,0.000495291,0.000495291
35,862.27,0.69765,0.5932,1.18959,0.91363,0.90696,0.92772,0.73346,0.79136,0.54245,1.36757,0.000466997,0.000466997,0.000466997
36,881.863,0.72342,0.61571,1.21479,0.91539,0.89393,0.92398,0.738,0.75982,0.53898,1.33927,0.000438703,0.000438703,0.000438703
37,901.881,0.70803,0.58059,1.18384,0.89969,0.89506,0.93386,0.74425,0.77934,0.53871,1.35194,0.000410409,0.000410409,0.000410409
38,921.631,0.6812,0.57878,1.17416,0.87843,0.90692,0.93819,0.75373,0.77969,0.52758,1.34881,0.000382115,0.000382115,0.000382115
39,941.696,0.69722,0.56219,1.18239,0.9119,0.88549,0.93813,0.75906,0.76482,0.53853,1.34085,0.00035382,0.00035382,0.00035382
40,961.345,0.67568,0.53882,1.16504,0.91457,0.88061,0.93809,0.75491,0.75948,0.52622,1.32702,0.000325526,0.000325526,0.000325526
41,978.225,0.58115,0.4523,1.18697,0.91154,0.87811,0.92347,0.7405,0.7479,0.58482,1.32136,0.000297232,0.000297232,0.000297232
42,994.666,0.53705,0.48429,1.12827,0.90896,0.90232,0.93678,0.75981,0.75402,0.50432,1.33151,0.000268938,0.000268938,0.000268938
43,1011.67,0.53876,0.39425,1.13775,0.8888,0.91571,0.93568,0.75872,0.74619,0.51219,1.31499,0.000240644,0.000240644,0.000240644
44,1028.25,0.53012,0.38327,1.12188,0.91556,0.90939,0.93368,0.75814,0.74182,0.51572,1.31476,0.000212349,0.000212349,0.000212349
45,1045.01,0.51238,0.36816,1.11386,0.89414,0.91344,0.93712,0.75868,0.72273,0.51681,1.31366,0.000184055,0.000184055,0.000184055
46,1061.85,0.50167,0.35922,1.1019,0.90641,0.91656,0.93775,0.75301,0.71897,0.50656,1.30077,0.000155761,0.000155761,0.000155761
47,1078.74,0.49342,0.34372,1.08346,0.90749,0.90047,0.93751,0.76169,0.72855,0.50445,1.30779,0.000127467,0.000127467,0.000127467
48,1107.29,0.49024,0.35458,1.10267,0.91712,0.89428,0.93922,0.75755,0.73083,0.49244,1.32044,9.91726e-05,9.91726e-05,9.91726e-05
49,1139.48,0.48835,0.33084,1.08031,0.91911,0.88955,0.93941,0.7568,0.7238,0.49205,1.3176,7.08784e-05,7.08784e-05,7.08784e-05
50,1162.61,0.48393,0.33385,1.09893,0.92494,0.90013,0.94352,0.76219,0.7263,0.48856,1.31788,4.25842e-05,4.25842e-05,4.25842e-05
