epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.531,0.97566,1.98937,1.41765,0.53888,0.63383,0.56466,0.32569,1.37227,3.12973,2.2543,0.000470858,0.000470858,0.000470858
2,84.6532,1.11075,1.37964,1.51772,0.06139,0.06323,0.02238,0.00982,3.75927,9.40147,3.82103,0.000928437,0.000928437,0.000928437
3,120.785,1.16352,1.34502,1.54936,0.22631,0.24573,0.14794,0.06059,2.54544,4.40931,3.26549,0.00136715,0.00136715,0.00136715
4,156.805,1.15888,1.27309,1.53737,0.68182,0.69001,0.71691,0.44851,1.28829,1.85449,2.18495,0.00134412,0.00134412,0.00134412
5,193.024,1.17315,1.22798,1.58742,0.59113,0.64234,0.61233,0.32085,1.58106,1.88602,2.13691,0.00131582,0.00131582,0.00131582
6,229.042,1.04053,1.10546,1.45086,0.74287,0.63975,0.70663,0.42063,1.47033,1.27588,2.3994,0.00128753,0.00128753,0.00128753
7,264.713,1.03504,1.0847,1.45486,0.81652,0.72109,0.81179,0.5453,1.1204,1.37831,1.75194,0.00125923,0.00125923,0.00125923
8,300.579,0.99232,0.99146,1.39938,0.73684,0.73926,0.7937,0.5298,1.1494,1.08595,1.76539,0.00123094,0.00123094,0.00123094
9,336.596,0.98956,0.98958,1.41012,0.82109,0.79108,0.85427,0.58459,1.10763,0.97006,1.72795,0.00120265,0.00120265,0.00120265
10,372.337,0.96985,0.95815,1.39204,0.79569,0.74786,0.7797,0.54061,0.99756,0.99951,1.63558,0.00117435,0.00117435,0.00117435
11,407.869,0.96013,0.94435,1.39454,0.82216,0.81909,0.845,0.63725,0.9696,0.91625,1.59791,0.00114606,0.00114606,0.00114606
12,443.493,0.92303,0.90744,1.37102,0.83863,0.81607,0.86949,0.65629,0.90945,0.85757,1.50866,0.00111776,0.00111776,0.00111776
13,479.744,0.90003,0.86052,1.33752,0.84177,0.86972,0.89316,0.67835,0.88411,0.69737,1.49654,0.00108947,0.00108947,0.00108947
14,515.38,0.90475,0.86219,1.35332,0.85165,0.72958,0.84737,0.62091,0.99151,0.92978,1.60326,0.00106118,0.00106118,0.00106118
15,551.208,0.86027,0.90507,1.29972,0.87195,0.85219,0.88484,0.63701,0.95952,0.75321,1.55969,0.00103288,0.00103288,0.00103288
16,587.087,0.87395,0.81487,1.3197,0.85199,0.8627,0.90116,0.69531,0.87485,0.681,1.48371,0.00100459,0.00100459,0.00100459
17,622.802,0.87992,0.83569,1.32723,0.84823,0.86221,0.88411,0.68028,0.87521,0.75784,1.47524,0.000976293,0.000976293,0.000976293
18,658.393,0.83925,0.7743,1.30232,0.87152,0.86527,0.89974,0.69019,0.88958,0.67479,1.49186,0.000947999,0.000947999,0.000947999
19,693.962,0.87096,0.78474,1.31301,0.88177,0.84967,0.9005,0.70224,0.86905,0.68385,1.46798,0.000919704,0.000919704,0.000919704
20,729.778,0.84833,0.77442,1.30789,0.8739,0.83382,0.88058,0.66819,0.88592,0.74684,1.47865,0.00089141,0.00089141,0.00089141
21,768.227,0.83028,0.74978,1.27929,0.8406,0.88228,0.88574,0.68401,0.84659,0.65906,1.4285,0.000863116,0.000863116,0.000863116
22,805.395,0.82472,0.7411,1.26872,0.88929,0.85806,0.90415,0.68749,0.85178,0.64027,1.45248,0.000834822,0.000834822,0.000834822
23,841.918,0.8006,0.72229,1.26525,0.88264,0.83754,0.90163,0.69717,0.84813,0.63406,1.43409,0.000806528,0.000806528,0.000806528
24,879.903,0.79021,0.70914,1.26213,0.87434,0.83883,0.90196,0.7076,0.80299,0.66593,1.38469,0.000778233,0.000778233,0.000778233
25,917.491,0.81052,0.70507,1.2785,0.86984,0.87579,0.90601,0.70662,0.81049,0.63479,1.40192,0.000749939,0.000749939,0.000749939
26,953.248,0.78722,0.68333,1.25548,0.88234,0.90271,0.91745,0.71834,0.81781,0.58999,1.40428,0.000721645,0.000721645,0.000721645
27,989.291,0.7616,0.6629,1.23233,0.89617,0.86278,0.91295,0.72698,0.81033,0.60442,1.40388,0.000693351,0.000693351,0.000693351
28,1029.61,0.7945,0.66619,1.265,0.84866,0.91444,0.90644,0.706,0.84064,0.61856,1.41689,0.000665057,0.000665057,0.000665057
29,1068.01,0.76639,0.6717,1.24221,0.82699,0.88606,0.90297,0.70362,0.83398,0.623,1.42738,0.000636762,0.000636762,0.000636762
30,1107.05,0.75406,0.68458,1.22966,0.88895,0.88354,0.91631,0.73077,0.81205,0.57772,1.39399,0.000608468,0.000608468,0.000608468
31,1142.59,0.76175,0.66286,1.23368,0.88511,0.88019,0.9179,0.72249,0.81435,0.60027,1.39834,0.000580174,0.000580174,0.000580174
32,1179.27,0.74492,0.63898,1.22299,0.90722,0.8777,0.92715,0.73133,0.80422,0.55825,1.39648,0.00055188,0.00055188,0.00055188
33,1216.69,0.74113,0.61757,1.22591,0.86669,0.90366,0.91987,0.71987,0.80905,0.56087,1.39009,0.000523586,0.000523586,0.000523586
34,1253.55,0.76417,0.632,1.2355,0.88483,0.91753,0.92424,0.73831,0.76136,0.55523,1.33668,0.000495291,0.000495291,0.000495291
35,1292.01,0.71608,0.59258,1.20073,0.88037,0.89662,0.92239,0.74017,0.76181,0.56006,1.33297,0.000466997,0.000466997,0.000466997
36,1330.09,0.74366,0.61617,1.23373,0.88804,0.88463,0.91817,0.72401,0.77333,0.58929,1.36628,0.000438703,0.000438703,0.000438703
