epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7094,1.17863,2.10584,1.61515,0.00063,0.18811,0.00021,6e-05,3.59414,4332.82,6.93665,0.00047358,0.00047358,0.00047358
2,135.528,1.39475,1.83231,1.76586,0.11204,0.1867,0.12724,0.06319,2.31655,19.2615,3.12857,0.000931105,0.000931105,0.000931105
3,201.093,1.37864,1.72778,1.74043,0.42685,0.40538,0.3307,0.15059,2.09274,2.69722,2.91045,0.00136977,0.00136977,0.00136977
4,264.704,1.29614,1.58568,1.65267,0.71423,0.66228,0.7146,0.47761,1.19427,1.89555,1.92297,0.00134412,0.00134412,0.00134412
5,328.335,1.27175,1.48555,1.66044,0.62828,0.66889,0.58497,0.39027,1.21539,2.88444,1.96092,0.00131582,0.00131582,0.00131582
6,391.864,1.14192,1.29136,1.53833,0.76516,0.73959,0.77705,0.54412,1.0758,1.08489,1.76319,0.00128753,0.00128753,0.00128753
7,455.241,1.10545,1.24253,1.51988,0.86575,0.75074,0.84201,0.62991,0.97419,0.92522,1.61652,0.00125923,0.00125923,0.00125923
8,518.57,1.05807,1.17332,1.47088,0.83532,0.75971,0.83468,0.60591,1.01877,0.9716,1.67908,0.00123094,0.00123094,0.00123094
9,581.697,1.03594,1.14753,1.45895,0.84174,0.75314,0.83093,0.61547,0.98682,0.98024,1.65684,0.00120265,0.00120265,0.00120265
10,645.012,1.00529,1.07767,1.44277,0.85606,0.80801,0.86624,0.65322,0.9471,0.8718,1.5929,0.00117435,0.00117435,0.00117435
11,708.563,0.99701,1.0583,1.42929,0.82183,0.79041,0.82965,0.61398,0.98393,0.91285,1.65609,0.00114606,0.00114606,0.00114606
12,775.633,0.9737,1.01007,1.42085,0.88472,0.80778,0.87746,0.67566,0.90611,0.81868,1.53527,0.00111776,0.00111776,0.00111776
13,842.176,0.94397,0.97754,1.38687,0.84423,0.83865,0.86139,0.66,0.90601,0.78035,1.54377,0.00108947,0.00108947,0.00108947
14,906.815,0.93084,0.96001,1.38766,0.89142,0.79689,0.88102,0.69122,0.87754,0.77131,1.49798,0.00106118,0.00106118,0.00106118
15,972.05,0.90066,0.97144,1.34833,0.84398,0.80772,0.86408,0.6622,0.90083,0.76952,1.50004,0.00103288,0.00103288,0.00103288
16,1037.29,0.90268,0.89216,1.35466,0.86406,0.84086,0.88431,0.67857,0.92642,0.76163,1.54557,0.00100459,0.00100459,0.00100459
17,1103.2,0.91659,0.92335,1.36922,0.84383,0.86856,0.86772,0.65127,0.90888,0.73714,1.5306,0.000976293,0.000976293,0.000976293
18,1167.8,0.86947,0.84931,1.33362,0.87535,0.86129,0.89499,0.69866,0.85407,0.70052,1.46796,0.000947999,0.000947999,0.000947999
19,1229.31,0.88452,0.8603,1.34283,0.85921,0.8599,0.90077,0.69215,0.89812,0.71547,1.51134,0.000919704,0.000919704,0.000919704
